team,classification,district,games_played,starting_year,starting_off,starting_def,starting_ovr,final_off,final_def,final_ovr
Maysville,1,6,3,2015,-5.35,-20.23,-25.58,-8.837207110812477,-19.21368572974181,-28.05089284055429
Penney,1,6,2,2025,-17.25,-7.86,-25.11,-20.081269945020125,-8.142947080113215,-28.224217025133342
Ruskin,5,7,3,2025,-15.73,-8.25,-23.98,-13.636355791310317,-14.743541795985347,-28.379897587295666
Salem,3,5,3,2025,-20.35,-8.38,-28.72,-20.39627241099727,-8.070999630936631,-28.467272041933903
Wright City,3,4,3,2025,-10.29,-8.84,-19.12,-14.27559288764823,-14.447291896058974,-28.722884783707205
Windsor,1,4,3,2025,-12.83,-5.99,-18.82,-23.251171469079246,-5.699728167079262,-28.950899636158507
Willow Springs,2,3,3,2025,-16.85,-17.39,-34.24,-16.3158512315694,-14.265456152671128,-30.581307384240528
Scotland County,1,8,3,2025,-15.97,-21.51,-37.47,-13.911326825345942,-17.650370838832416,-31.561697664178357
Grandview (Hillsboro),1,2,1,2025,-9.27,-14.04,-23.31,-15.34045470910799,-16.550074743955733,-31.89052945306372
Winfield,3,3,3,2025,-22.77,-7.52,-30.29,-22.273851448484447,-9.841926127412876,-32.115777575897326
Saxony Lutheran,2,1,2,2025,-13.9,-22.52,-36.43,-13.879078841206036,-18.280891396929686,-32.15997023813572
El Dorado Springs,2,4,1,2025,-20.81,-12.57,-33.38,-19.016147358768688,-14.142085613312286,-33.158232972080974
Central (New Madrid County),2,1,3,2025,-11.51,-10.1,-21.61,-15.56399653361243,-17.924297794265954,-33.488294327878386
Charleston,1,1,3,2025,-18.83,-12.81,-31.64,-14.272980085251728,-19.49870823516808,-33.77168832041981
Clark County,2,7,3,2025,-15.69,-18.84,-34.53,-16.278903840318755,-18.04552279031681,-34.324426630635564
South Shelby,1,8,3,2025,-26.29,-13.13,-39.42,-22.55066477731142,-12.475818533493635,-35.026483310805055
Westran,1,7,3,2025,-22.98,-19.35,-42.33,-19.203554372728256,-16.871646335834736,-36.07520070856299
Cole Camp,2,5,3,2025,-13.57,-11.81,-25.38,-19.72588504367743,-16.74597278511418,-36.47185782879161
Lutheran St. Charles,3,3,3,2025,-18.87,-12.19,-31.06,-19.795332859291364,-18.047578111102755,-37.842910970394115
Van-Far,1,7,3,2025,-10.92,-11.94,-22.86,-19.914545109464065,-17.930126217231997,-37.84467132669606
